Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Wolbachia endosymbiont (group A) of Lasioglossum morio		isolate: 26640	2954025	iyLasMori1.Wolbachia_sp_3.1	GCF_947250495.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1284394	1284394	2022-11-02	1281	PRJEB57027	SAMEA111432295
Wolbachia endosymbiont (group A) of Phalera bucephala		isolate: 26549	2954042	ilPhaBuce1.Wolbachia_sp_1.1	GCF_947250505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1271809	1271809	2022-11-02	1288	PRJEB56997	SAMEA111432204
Wolbachia endosymbiont (group B) of Catoptria pinella		isolate: 26602	2953993	ilCatPine1.Wolbachia_sp_1.1	GCF_947250515.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1667356	1667356	2022-11-02	1556	PRJEB57023	SAMEA111432257
Wolbachia endosymbiont (group B) of Colias croceus		isolate: 26608	2953998	ilColCroc2.Wolbachia_sp_1.1	GCF_947250525.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1396841	1396841	2022-11-02	1298	PRJEB57040	SAMEA111432263
Wolbachia endosymbiont (group B) of Euphydryas aurinia		isolate: 26626	2954014	ilEupAuri1.Wolbachia_sp_1.1	GCF_947250535.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1802477	1802477	2022-11-02	1702	PRJEB56967	SAMEA111432281
Wolbachia endosymbiont (group B) of Erynnis tages		isolate: 26623	2954011	ilEryTage1.Wolbachia_sp_1.1	GCF_947250545.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1532960	1532960	2022-11-02	1425	PRJEB57012	SAMEA111432278
Wolbachia endosymbiont (group B) of Pandemis corylana		isolate: 26547	2954039	ilPanCory1.Wolbachia_sp_1.1	GCF_947250555.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1510263	1510263	2022-11-02	1426	PRJEB56993	SAMEA111432202
Wolbachia endosymbiont (group A) of Andrena haemorrhoa		isolate: 26584	2953976	iyAndHaem1.Wolbachia_sp_1.1	GCF_947250565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1494005	1494005	2022-11-02	1497	PRJEB56937	SAMEA111432239
Wolbachia endosymbiont (group B) of Episyrphus balteatus		isolate: 26621	2954009	idEpiBalt1.Wolbachia_sp_1.1	GCF_947250575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1402288	1402288	2022-11-02	1341	PRJEB56955	SAMEA111432276
Wolbachia endosymbiont (group A) of Lasioglossum morio		isolate: 26638	2954025	iyLasMori1.Wolbachia_sp_1.1	GCF_947250585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1282687	1282687	2022-11-02	1269	PRJEB56963	SAMEA111432293
Wolbachia endosymbiont (group B) of Campaea margaritaria		isolate: 26599	2953990	ilCamMarg1.Wolbachia_sp_1.1	GCF_947250595.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1507681	1507681	2022-11-02	1424	PRJEB57010	SAMEA111432254
Wolbachia endosymbiont (group B) of Pyrgus malvae		isolate: 26565	2954052	ilPyrMalv3.Wolbachia_sp_1.1	GCF_947250605.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1544873	1544873	2022-11-02	1464	PRJEB56971	SAMEA111432220
Wolbachia endosymbiont (group B) of Rhopobota naevana		isolate: 26567	2954054	ilRhoNaev1.Wolbachia_sp_1.1	GCF_947250615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1771989	1771989	2022-11-02	1694	PRJEB57013	SAMEA111432222
Wolbachia endosymbiont (group A) of Cheilosia soror		isolate: 26604	2953995	idCheSoro1.Wolbachia_sp_1.1	GCF_947250625.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1368130	1368130	2022-11-02	1311	PRJEB56957	SAMEA111432259
Wolbachia endosymbiont (group B) of Parapoynx stratiotata		isolate: 26548	2954040	ilParStra1.Wolbachia_sp_1.1	GCF_947250635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1545408	1545408	2022-11-02	1460	PRJEB56961	SAMEA111432203
Wolbachia endosymbiont (group B) of Eucosma cana		isolate: 26624	2954012	ilEucCana1.Wolbachia_sp_1.1	GCF_947250645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1407591	1407591	2022-11-02	1399	PRJEB57017	SAMEA111432279
Wolbachia endosymbiont (group B) of Watsonalla binaria		isolate: 26581	2954066	ilWatBina1.Wolbachia_sp_1.1	GCF_947250655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1651335	1651335	2022-11-02	1535	PRJEB56986	SAMEA111432236
Wolbachia endosymbiont (group A) of Volucella inflata		isolate: 26579	2954065	idVolInfl1.Wolbachia_sp_1.1	GCF_947250665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1502844	1502844	2022-11-02	1541	PRJEB56958	SAMEA111432234
Wolbachia endosymbiont (group B) of Xestia c-nigrum		isolate: 26582	2954067	ilXesCnig1.Wolbachia_sp_1.1	GCF_947250675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1372377	1372377	2022-11-02	1305	PRJEB57016	SAMEA111432237
Wolbachia endosymbiont (group A) of Sphecodes monilicornis		isolate: 26573	2954060	iySphMoni1.Wolbachia_sp_1.1	GCF_947250685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1359653	1359653	2022-11-02	1384	PRJEB57041	SAMEA111432228
Wolbachia endosymbiont (group B) of Eupeodes latifasciatus		isolate: 26625	2954013	idEupLati1.Wolbachia_sp_1.1	GCF_947250695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1274269	1274269	2022-11-02	1207	PRJEB57002	SAMEA111432280
Wolbachia endosymbiont (group B) of Archips podanus		isolate: 26592	2953984	ilArcPodn1.Wolbachia_sp_1.1	GCF_947250705.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1806406	1806406	2022-11-02	1650	PRJEB56978	SAMEA111432247
Wolbachia endosymbiont (group A) of Sympetrum striolatum		isolate: 26575	2954061	ioSymStri1.Wolbachia_sp_1.1	GCF_947250715.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1516596	1516596	2022-11-02	1470	PRJEB56984	SAMEA111432230
Wolbachia endosymbiont (group B) of Pararge aegeria		isolate: 26557	2954041	ilParAegt1.Wolbachia_sp_1.1	GCF_947250725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1332905	1332905	2022-11-02	1250	PRJEB56972	SAMEA111432212
Wolbachia endosymbiont (group A) of Sphaerophoria taeniata		isolate: 26570	2954057	idSphTaen1.Wolbachia_sp_1.1	GCF_947250735.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1354582	1354582	2022-11-02	1336	PRJEB57019	SAMEA111432225
Wolbachia endosymbiont (group B) of Polyommatus icarus		isolate: 26562	2954049	ilPolIcar1.Wolbachia_sp_1.1	GCF_947250745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1574132	1574132	2022-11-02	1465	PRJEB56998	SAMEA111432217
Wolbachia endosymbiont (group B) of Agriphila straminella		isolate: 24839	2953972	ilAgrStra1.Wolbachia_sp_1.1	GCF_947250755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1856316	1856316	2022-11-02	1717	PRJEB56965	SAMEA110701668
Wolbachia endosymbiont (group A) of Gymnosoma rotundatum		isolate: 26628	2954016	idGymRotn1.Wolbachia_sp_1.1	GCF_947250765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1431527	1431527	2022-11-02	1452	PRJEB57021	SAMEA111432283
Wolbachia endosymbiont (group A) of Rhinocyllus conicus		isolate: 26566	2954053	icRhiConi1.Wolbachia_sp_1.1	GCF_947250775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1703908	1703908	2022-11-02	1680	PRJEB57000	SAMEA111432221
Wolbachia endosymbiont (group A) of Ancistrocerus nigricornis		isolate: 24841	2953974	iyAncNigr1.Wolbachia_sp_1.1	GCF_947250785.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1265149	1265149	2022-11-02	1291	PRJEB56938	SAMEA110701670
Wolbachia endosymbiont (group A) of Nomada fabriciana		isolate: 26543	2954033	iyNomFabr1.Wolbachia_sp_1.1	GCF_947250795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1438975	1438975	2022-11-04	1459	PRJEB56976	SAMEA111432198
Wolbachia endosymbiont (group A) of Endotricha flammealis		isolate: 26614	2954004	ilEndFlam1.Wolbachia_sp_1.1	GCF_947250805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1691858	1691858	2022-11-04	1642	PRJEB56982	SAMEA111432269
Wolbachia endosymbiont (group B) of Nymphalis c-album		isolate: 26554	2954034	ilPolCalb1.Wolbachia_sp_1.1	GCF_947250815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1381694	1381694	2022-11-04	1304	PRJEB56977	SAMEA111432209
Wolbachia endosymbiont (group A) of Protocalliphora azurea		isolate: 26563	2954050	idProAzur1.Wolbachia_sp_1.1	GCF_947251425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1434285	1434285	2022-11-04	1417	PRJEB57008	SAMEA111432218
Wolbachia endosymbiont (group A) of Epistrophe grossularia		isolate: 26620	2954008	idEpiGros1.Wolbachia_sp_2.1	GCF_947251435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1367569	1367569	2022-11-04	1376	PRJEB57020	SAMEA111432275
Wolbachia endosymbiont (group B) of Melanostoma mellinum		isolate: 26540	2954030	idMelMell2.Wolbachia_sp_1.1	GCF_947251465.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1875946	1875946	2022-11-04	1748	PRJEB56970	SAMEA111432195
Wolbachia endosymbiont (group A) of Epirrhoe alternata		isolate: 26618	2954007	ilEpiAlte1.Wolbachia_sp_1.1	GCF_947251475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1197405	1197405	2022-11-04	1189	PRJEB56992	SAMEA111432273
Wolbachia endosymbiont (group A) of Scambus nigricans		isolate: 26568	2954055	iyScaNigr1.Wolbachia_sp_1.1	GCF_947251485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1150902	1150902	2022-11-04	1299	PRJEB57051	SAMEA111432223
Wolbachia endosymbiont (group B) of Pammene fasciana		isolate: 26545	2954037	ilPamFasc1.Wolbachia_sp_1.1	GCF_947251495.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1266982	1266982	2022-11-04	1195	PRJEB56985	SAMEA111432200
Wolbachia endosymbiont (group B) of Thymelicus sylvestris		isolate: 26576	2954062	ilThySylv1.Wolbachia_sp_1.1	GCF_947251505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1286255	1286255	2022-11-04	1228	PRJEB56960	SAMEA111432231
Wolbachia endosymbiont (group A) of Sicus ferrugineus		isolate: 26569	2954056	idSicFerr1.Wolbachia_sp_1.1	GCF_947251515.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1273940	1273940	2022-11-04	1288	PRJEB57038	SAMEA111432224
Wolbachia endosymbiont (group A) of Calamotropha paludella		isolate: 26598	2953989	ilCalPalu1.Wolbachia_sp_2.1	GCF_947251525.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1378300	1378300	2022-11-04	1393	PRJEB57034	SAMEA111432253
Wolbachia endosymbiont (group B) of Phalera bucephala		isolate: 26551	2954043	ilPhaBuce1.Wolbachia_sp_3.1	GCF_947251535.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1462992	1462992	2022-11-04	1364	PRJEB56962	SAMEA111432206
Wolbachia endosymbiont (group A) of Anomoia purmunda		isolate: 26586	2953978	idAnoPurm1.Wolbachia_sp_1.1	GCF_947251545.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1485790	1485790	2022-11-04	1533	PRJEB57039	SAMEA111432241
Wolbachia endosymbiont (group A) of Macropis europaea		isolate: 26643	2954028	iyMacEuro1.Wolbachia_sp_1.1	GCF_947251555.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1439111	1439111	2022-11-04	1342	PRJEB57030	SAMEA111432298
Wolbachia endosymbiont (group A) of Pheosia gnoma		isolate: 26558	2954044	ilPheGnom1.Wolbachia_sp_1.1	GCF_947251565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1353731	1353731	2022-11-04	1338	PRJEB57031	SAMEA111432213
Wolbachia endosymbiont (group A) of Yponomeuta plumbellus		isolate: 26583	2954068	ilYpoPlub1.Wolbachia_sp_1.1	GCF_947251575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1418562	1418562	2022-11-04	1412	PRJEB57029	SAMEA111432238
Wolbachia endosymbiont (group B) of Ischnura elegans		isolate: 26633	2954021	ioIscEleg1.Wolbachia_sp_1.1	GCF_947251585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2192297	2192297	2022-11-04	2232	PRJEB56991	SAMEA111432288
Wolbachia endosymbiont (group A) of Eupithecia tripunctaria		isolate: 26627	2954015	ilEupTrip1.Wolbachia_sp_1.1	GCF_947251595.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1478719	1478719	2022-11-04	1483	PRJEB57018	SAMEA111432282
Wolbachia endosymbiont (group B) of Emmelina monodactyla		isolate: 26613	2954003	ilEmmMono1.Wolbachia_sp_1.1	GCF_947251605.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1385742	1385742	2022-11-04	1315	PRJEB56987	SAMEA111432268
Wolbachia endosymbiont (group A) of Apoderus coryli		isolate: 26588	2953980	icApoCory1.Wolbachia_sp_1.1	GCF_947251615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1535196	1535196	2022-11-04	1619	PRJEB56975	SAMEA111432243
Wolbachia endosymbiont (group B) of Phalera bucephala		isolate: 26550	2954043	ilPhaBuce1.Wolbachia_sp_2.1	GCF_947251625.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1358027	1358027	2022-11-04	1288	PRJEB57036	SAMEA111432205
Wolbachia endosymbiont (group A) of Icerya purchasi		isolate: 26631	2954019	ihIcePurc2.Wolbachia_sp_1.1	GCF_947251635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1372034	1372034	2022-11-04	1446	PRJEB56943	SAMEA111432286
Wolbachia endosymbiont (group A) of Bibio marci		isolate: 26595	2953987	idBibMarc1.Wolbachia_sp_1.1	GCF_947251645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1355351	1355351	2022-11-04	1448	PRJEB57026	SAMEA111432250
Wolbachia endosymbiont (group B) of Pheosia tremula		isolate: 26559	2954045	ilPheTrem1.Wolbachia_sp_1.1	GCF_947251655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1268782	1268782	2022-11-04	1186	PRJEB57025	SAMEA111432214
Wolbachia endosymbiont (group A) of Trypoxylon clavicerum		isolate: 26578	2954064	iyTryClav1.Wolbachia_sp_1.1	GCF_947251665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1287268	1287268	2022-11-04	1331	PRJEB57043	SAMEA111432233
Wolbachia endosymbiont (group A) of Merzomyia westermanni		isolate: 26541	2954031	idMerWest1.Wolbachia_sp_1.1	GCF_947251675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1295457	1295457	2022-11-04	1337	PRJEB56999	SAMEA111432196
Wolbachia endosymbiont (group A) of Andrena dorsata		isolate: 24843	2953975	iyAndDors1.Wolbachia_sp_2.1	GCF_947251685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1533661	1533661	2022-11-04	1442	PRJEB57049	SAMEA110701672
Wolbachia endosymbiont (group A) of Ectemnius continuus		isolate: 26612	2954002	iyEctCont1.Wolbachia_sp_1.1	GCF_947251695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1299221	1299221	2022-11-04	1322	PRJEB56990	SAMEA111432267
Wolbachia endosymbiont (group A) of Lasioglossum morio		isolate: 26639	2954025	iyLasMori1.Wolbachia_sp_2.1	GCF_947251705.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1270693	1270693	2022-11-04	1296	PRJEB57052	SAMEA111432294
Wolbachia endosymbiont (group A) of Tiphia femorata		isolate: 26577	2954063	iyTipFemo1.Wolbachia_sp_1.1	GCF_947251725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1330165	1330165	2022-11-04	1411	PRJEB56954	SAMEA111432232
Wolbachia endosymbiont (group B) of Endotricha flammealis		isolate: 26615	2954005	ilEndFlam1.Wolbachia_sp_2.1	GCF_947251735.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1747616	1747616	2022-11-04	1648	PRJEB56952	SAMEA111432270
Wolbachia endosymbiont (group A) of Epagoge grotiana		isolate: 26616	2954006	ilEpaGrot1.Wolbachia_sp_1.1	GCF_947251745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1431998	1431998	2022-11-04	1412	PRJEB57037	SAMEA111432271
Wolbachia endosymbiont (group A) of Philonthus cognatus		isolate: 26552	2954046	icPhiCogn1.Wolbachia_sp_1.1	GCF_947251755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1811323	1811323	2022-11-04	1696	PRJEB57032	SAMEA111432207
Wolbachia endosymbiont (group A) of Andrena dorsata		isolate: 24842	2953975	iyAndDors1.Wolbachia_sp_1.1	GCF_947251765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1366844	1366844	2022-11-04	1400	PRJEB57004	SAMEA110701671
Wolbachia endosymbiont (group A) of Epagoge grotiana		isolate: 26617	2954006	ilEpaGrot1.Wolbachia_sp_2.1	GCF_947251775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1781589	1781589	2022-11-04	1702	PRJEB56995	SAMEA111432272
Wolbachia endosymbiont (group A) of Anoplius nigerrimus		isolate: 26587	2953979	iyAnoNige1.Wolbachia_sp_1.1	GCF_947251795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1345805	1345805	2022-11-04	1454	PRJEB57045	SAMEA111432242
Wolbachia endosymbiont (group B) of Celastrina argiolus		isolate: 26603	2953994	ilCelArgi3.Wolbachia_sp_1.1	GCF_947251805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1329046	1329046	2022-11-04	1245	PRJEB56946	SAMEA111432258
Wolbachia endosymbiont (group B) of Chorthippus parallelus		isolate: 26607	2953997	iqChoPara1.Wolbachia_sp_1.1	GCF_947251815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1748465	1748465	2022-11-04	1592	PRJEB56959	SAMEA111432262
Wolbachia endosymbiont (group B) of Camptogramma bilineatum		isolate: 26600	2953991	ilCamBiln1.Wolbachia_sp_1.1	GCF_947251825.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1668205	1668205	2022-11-04	1716	PRJEB56979	SAMEA111432255
Wolbachia endosymbiont (group B) of Apotomis turbidana		isolate: 26591	2953983	ilApoTurb1.Wolbachia_sp_1.1	GCF_947251835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1525755	1525755	2022-11-04	1458	PRJEB56953	SAMEA111432246
Wolbachia endosymbiont (group B) of Athalia cordata		isolate: 26594	2953986	iyAthCord1.Wolbachia_sp_1.1	GCF_947251845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1345841	1345841	2022-11-04	1258	PRJEB57033	SAMEA111432249
Wolbachia endosymbiont (group B) of Protocalliphora azurea		isolate: 26564	2954051	idProAzur1.Wolbachia_sp_2.1	GCF_947251865.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1550351	1550351	2022-11-04	1482	PRJEB57024	SAMEA111432219
Wolbachia endosymbiont (group B) of Lycaena phlaeas		isolate: 26642	2954027	ilLycPhla1.Wolbachia_sp_1.1	GCF_947251875.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1312310	1312310	2022-11-04	1240	PRJEB56966	SAMEA111432297
Wolbachia endosymbiont (group A) of Bombylius major		isolate: 26596	2953988	idBomMajo1.Wolbachia_sp_1.1	GCF_947251895.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1556586	1556586	2022-11-04	1493	PRJEB57022	SAMEA111432251
Wolbachia endosymbiont (group A) of Hylaeus communis		isolate: 26630	2954018	iyHylComm1.Wolbachia_sp_1.1	GCF_947251915.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1526905	1526905	2022-11-04	1505	PRJEB56996	SAMEA111432285
Wolbachia endosymbiont (group A) of Epistrophe grossularia		isolate: 26619	2954008	idEpiGros1.Wolbachia_sp_1.1	GCF_947251925.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1483876	1483876	2022-11-04	1415	PRJEB57046	SAMEA111432274
Wolbachia endosymbiont (group A) of Calamotropha paludella		isolate: 26597	2953989	ilCalPalu1.Wolbachia_sp_1.1	GCF_947251935.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1594315	1594315	2022-11-04	1498	PRJEB57006	SAMEA111432252
Wolbachia endosymbiont (group A) of Lasioglossum lativentre		isolate: 26635	2954023	iyLasLatv2.Wolbachia_sp_1.1	GCF_947251945.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1306351	1306351	2022-11-04	1332	PRJEB57048	SAMEA111432290
Wolbachia endosymbiont (group A) of Coremacera marginata		isolate: 26609	2953999	idCorMarg1.Wolbachia_sp_1.1	GCF_947251955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1387347	1387347	2022-11-04	1378	PRJEB57003	SAMEA111432264
Wolbachia endosymbiont (group A) of Sphecodes monilicornis		isolate: 26574	2954060	iySphMoni1.Wolbachia_sp_2.1	GCF_947251965.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1141922	1141922	2022-11-04	1186	PRJEB57009	SAMEA111432229
Wolbachia endosymbiont (group B) of Hylaea fasciaria		isolate: 26629	2954017	ilHylFasc1.Wolbachia_sp_1.1	GCF_947251975.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1307821	1307821	2022-11-04	1254	PRJEB57042	SAMEA111432284
Wolbachia endosymbiont of Drosophila melanogaster		strain: wMelPlus	163164	wMelPlus_assembly	GCF_947533255.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267850	1267850	2022-12-07	1309	PRJEB57437	SAMEA112128137
Wolbachia endosymbiont of Drosophila melanogaster		strain: wMelCS112	163164	wMelCS112_assembly	GCF_947538885.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267849	1267849	2022-12-08	1298	PRJEB57437	SAMEA112128138
Wolbachia endosymbiont of Litomosoides sigmodontis		isolate: 44045	80850	nxLitSigm11.Wolbachia_sp_1.1	GCF_959347385.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1045802	1045802	2023-07-20	865	PRJEB64425	SAMEA114066107
Wolbachia endosymbiont (group A) of Longitarsus flavicornis		isolate: 54600	3066134	icLonFlav1.Wolbachia_sp_1.1	GCF_963931955.1	RefSeq	GCF_963931955.1-RS_2024_04_04	Complete Genome	1627592	1627592	2024-02-08	1567	PRJEB72265	SAMEA114449887
Wolbachia endosymbiont (group A) of Nomada hirtipes			3066208	iyNomHirt1.Wolbachia_sp_2.1	GCF_963966195.1	RefSeq	GCF_963966195.1-RS_2024_04_05	Complete Genome	1442356	1442356	2024-04-05	1472	PRJEB72681	SAMEA114449972
Wolbachia endosymbiont (group A) of Nomada hirtipes			3066208	iyNomHirt1.Wolbachia_sp_1.1	GCF_963966205.1	RefSeq	GCF_963966205.1-RS_2024_04_05	Complete Genome	1715451	1715451	2024-04-05	1750	PRJEB72680	SAMEA114449973
Wolbachia endosymbiont (group A) of Ophion costatus			3066209	iyOphCost1.Wolbachia_sp_1.1	GCF_963969245.1	RefSeq	GCF_963969245.1-RS_2024_04_05	Complete Genome	1399493	1399493	2024-04-05	1415	PRJEB72868	SAMEA114449974
Wolbachia endosymbiont (group A) of Ophion ellenae			3066210	iyOphElle1.Wolbachia_sp_1.1	GCF_964019365.1	RefSeq	GCF_964019365.1-RS_2024_04_05	Complete Genome	1432666	1432666	2024-04-05	1479	PRJEB74333	SAMEA114449975
Wolbachia endosymbiont (group B) of Dendrolimus pini			3066172	ilDenPini1.Wolbachia_sp_2.1	GCF_964026695.1	RefSeq	GCF_964026695.1-RS_2024_04_19	Complete Genome	1606318	1606318	2024-04-20	1505	PRJEB74820	SAMEA114449930
Wolbachia endosymbiont (group A) of Nomada goodeniana			3066207	iyNomGood2.Wolbachia_sp_2.1	GCF_964026705.1	RefSeq	GCF_964026705.1-RS_2024_04_19	Complete Genome	1452922	1452922	2024-04-20	1410	PRJEB74873	SAMEA114449971
Wolbachia endosymbiont (group A) of Andrena bucephala			3066189	iyAndBuce1.Wolbachia_sp_2.1	GCF_964026715.1	RefSeq	GCF_964026715.1-RS_2024_04_19	Complete Genome	1410266	1410266	2024-04-20	1458	PRJEB74827	SAMEA114449949
Wolbachia endosymbiont (group B) of Germaria angustata			3077916	idGerAngu1.Wolbachia_sp_1.1	GCF_964026725.1	RefSeq	GCF_964026725.1-RS_2024_04_19	Complete Genome	1261049	1261049	2024-04-20	1224	PRJEB74816	SAMEA115290498
