Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Wolbachia endosymbiont (group B) of Phalera bucephala		isolate: 26550	2954043	ilPhaBuce1.Wolbachia_sp_2.1	GCF_947251625.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1358027	1358027	2022-11-04	1288	PRJEB57036	SAMEA111432205
Wolbachia endosymbiont (group A) of Icerya purchasi		isolate: 26631	2954019	ihIcePurc2.Wolbachia_sp_1.1	GCF_947251635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1372034	1372034	2022-11-04	1446	PRJEB56943	SAMEA111432286
Wolbachia endosymbiont (group A) of Bibio marci		isolate: 26595	2953987	idBibMarc1.Wolbachia_sp_1.1	GCF_947251645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1355351	1355351	2022-11-04	1448	PRJEB57026	SAMEA111432250
Wolbachia endosymbiont (group B) of Pheosia tremula		isolate: 26559	2954045	ilPheTrem1.Wolbachia_sp_1.1	GCF_947251655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1268782	1268782	2022-11-04	1186	PRJEB57025	SAMEA111432214
Wolbachia endosymbiont (group A) of Trypoxylon clavicerum		isolate: 26578	2954064	iyTryClav1.Wolbachia_sp_1.1	GCF_947251665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1287268	1287268	2022-11-04	1331	PRJEB57043	SAMEA111432233
Wolbachia endosymbiont (group A) of Merzomyia westermanni		isolate: 26541	2954031	idMerWest1.Wolbachia_sp_1.1	GCF_947251675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1295457	1295457	2022-11-04	1337	PRJEB56999	SAMEA111432196
Wolbachia endosymbiont (group A) of Ectemnius continuus		isolate: 26612	2954002	iyEctCont1.Wolbachia_sp_1.1	GCF_947251695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1299221	1299221	2022-11-04	1322	PRJEB56990	SAMEA111432267
Wolbachia endosymbiont (group A) of Tiphia femorata		isolate: 26577	2954063	iyTipFemo1.Wolbachia_sp_1.1	GCF_947251725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1330165	1330165	2022-11-04	1411	PRJEB56954	SAMEA111432232
Wolbachia endosymbiont (group B) of Endotricha flammealis		isolate: 26615	2954005	ilEndFlam1.Wolbachia_sp_2.1	GCF_947251735.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1747616	1747616	2022-11-04	1648	PRJEB56952	SAMEA111432270
Wolbachia endosymbiont (group A) of Philonthus cognatus		isolate: 26552	2954046	icPhiCogn1.Wolbachia_sp_1.1	GCF_947251755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1811323	1811323	2022-11-04	1696	PRJEB57032	SAMEA111432207
Wolbachia endosymbiont (group A) of Andrena dorsata		isolate: 24842	2953975	iyAndDors1.Wolbachia_sp_1.1	GCF_947251765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1366844	1366844	2022-11-04	1400	PRJEB57004	SAMEA110701671
Wolbachia endosymbiont (group A) of Epagoge grotiana		isolate: 26617	2954006	ilEpaGrot1.Wolbachia_sp_2.1	GCF_947251775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1781589	1781589	2022-11-04	1702	PRJEB56995	SAMEA111432272
Wolbachia endosymbiont (group A) of Anoplius nigerrimus		isolate: 26587	2953979	iyAnoNige1.Wolbachia_sp_1.1	GCF_947251795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1345805	1345805	2022-11-04	1454	PRJEB57045	SAMEA111432242
Wolbachia endosymbiont (group B) of Celastrina argiolus		isolate: 26603	2953994	ilCelArgi3.Wolbachia_sp_1.1	GCF_947251805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1329046	1329046	2022-11-04	1245	PRJEB56946	SAMEA111432258
Wolbachia endosymbiont (group B) of Chorthippus parallelus		isolate: 26607	2953997	iqChoPara1.Wolbachia_sp_1.1	GCF_947251815.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1748465	1748465	2022-11-04	1592	PRJEB56959	SAMEA111432262
Wolbachia endosymbiont (group B) of Camptogramma bilineatum		isolate: 26600	2953991	ilCamBiln1.Wolbachia_sp_1.1	GCF_947251825.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1668205	1668205	2022-11-04	1716	PRJEB56979	SAMEA111432255
Wolbachia endosymbiont (group B) of Apotomis turbidana		isolate: 26591	2953983	ilApoTurb1.Wolbachia_sp_1.1	GCF_947251835.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1525755	1525755	2022-11-04	1458	PRJEB56953	SAMEA111432246
Wolbachia endosymbiont (group B) of Athalia cordata		isolate: 26594	2953986	iyAthCord1.Wolbachia_sp_1.1	GCF_947251845.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1345841	1345841	2022-11-04	1258	PRJEB57033	SAMEA111432249
Wolbachia endosymbiont (group B) of Protocalliphora azurea		isolate: 26564	2954051	idProAzur1.Wolbachia_sp_2.1	GCF_947251865.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1550351	1550351	2022-11-04	1482	PRJEB57024	SAMEA111432219
Wolbachia endosymbiont (group B) of Lycaena phlaeas		isolate: 26642	2954027	ilLycPhla1.Wolbachia_sp_1.1	GCF_947251875.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1312310	1312310	2022-11-04	1240	PRJEB56966	SAMEA111432297
Wolbachia endosymbiont (group A) of Bombylius major		isolate: 26596	2953988	idBomMajo1.Wolbachia_sp_1.1	GCF_947251895.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1556586	1556586	2022-11-04	1493	PRJEB57022	SAMEA111432251
Wolbachia endosymbiont (group A) of Hylaeus communis		isolate: 26630	2954018	iyHylComm1.Wolbachia_sp_1.1	GCF_947251915.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1526905	1526905	2022-11-04	1505	PRJEB56996	SAMEA111432285
Wolbachia endosymbiont (group A) of Calamotropha paludella		isolate: 26597	2953989	ilCalPalu1.Wolbachia_sp_1.1	GCF_947251935.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1594315	1594315	2022-11-04	1498	PRJEB57006	SAMEA111432252
Wolbachia endosymbiont (group A) of Lasioglossum lativentre		isolate: 26635	2954023	iyLasLatv2.Wolbachia_sp_1.1	GCF_947251945.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1306351	1306351	2022-11-04	1332	PRJEB57048	SAMEA111432290
Wolbachia endosymbiont (group A) of Coremacera marginata		isolate: 26609	2953999	idCorMarg1.Wolbachia_sp_1.1	GCF_947251955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1387347	1387347	2022-11-04	1378	PRJEB57003	SAMEA111432264
Wolbachia endosymbiont (group A) of Sphecodes monilicornis		isolate: 26574	2954060	iySphMoni1.Wolbachia_sp_2.1	GCF_947251965.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1141922	1141922	2022-11-04	1186	PRJEB57009	SAMEA111432229
Wolbachia endosymbiont (group B) of Hylaea fasciaria		isolate: 26629	2954017	ilHylFasc1.Wolbachia_sp_1.1	GCF_947251975.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1307821	1307821	2022-11-04	1254	PRJEB57042	SAMEA111432284
Wolbachia endosymbiont (group A) of Longitarsus flavicornis		isolate: 54600	3066134	icLonFlav1.Wolbachia_sp_1.1	GCF_963931955.1	RefSeq	GCF_963931955.1-RS_2024_04_04	Complete Genome	1627592	1627592	2024-02-08	1567	PRJEB72265	SAMEA114449887
Wolbachia endosymbiont (group A) of Nomada hirtipes			3066208	iyNomHirt1.Wolbachia_sp_2.1	GCF_963966195.1	RefSeq	GCF_963966195.1-RS_2024_04_05	Complete Genome	1442356	1442356	2024-04-05	1472	PRJEB72681	SAMEA114449972
Wolbachia endosymbiont (group A) of Ophion costatus			3066209	iyOphCost1.Wolbachia_sp_1.1	GCF_963969245.1	RefSeq	GCF_963969245.1-RS_2024_04_05	Complete Genome	1399493	1399493	2024-04-05	1415	PRJEB72868	SAMEA114449974
Wolbachia endosymbiont (group A) of Ophion ellenae			3066210	iyOphElle1.Wolbachia_sp_1.1	GCF_964019365.1	RefSeq	GCF_964019365.1-RS_2024_04_05	Complete Genome	1432666	1432666	2024-04-05	1479	PRJEB74333	SAMEA114449975
